colegio,articulo,producto_colegio,talla,inventario,pronostico_agosto_septiembre,stock_minimo,orden_sin_redondeo,orden_produccion
antonio narino,camiseta diario/fisica,camiseta diario/fisica_antonio narino,16,6,6,3,3,5
colsafa,blusa,blusa_colsafa,M,3,3,2,2,5
colsafa,blusa,blusa_colsafa,S,12,8,7,3,5
colsafa,bombacho,bombacho_colsafa,16,4,3,2,1,5
colsafa,bombacho,bombacho_colsafa,L,2,2,1,1,5
colsafa,bombacho,bombacho_colsafa,S,2,4,2,4,5
colsafa,camiseta externa,camiseta externa_colsafa,10,0,1,1,2,5
colsafa,camiseta externa,camiseta externa_colsafa,12,0,1,1,2,5
colsafa,camiseta externa,camiseta externa_colsafa,14,0,5,1,6,10
colsafa,camiseta externa,camiseta externa_colsafa,16,0,1,1,2,5
colsafa,camiseta externa,camiseta externa_colsafa,L,0,2,1,3,5
colsafa,camiseta externa,camiseta externa_colsafa,M,0,3,1,4,5
colsafa,camiseta externa,camiseta externa_colsafa,S,0,2,1,3,5
colsafa,camiseta interna,camiseta interna_colsafa,14,0,3,2,5,5
colsafa,camiseta interna,camiseta interna_colsafa,16,0,2,1,3,5
colsafa,falda,falda_colsafa,16,0,2,0,2,5
colsafa,guayabera,guayabera_colsafa,14,2,5,4,7,10
colsafa,guayabera,guayabera_colsafa,L,3,5,6,8,10
colsafa,guayabera,guayabera_colsafa,S,4,4,2,2,5
colsafa,pantalon,pantalon_colsafa,10,0,3,2,5,5
colsafa,pantalon,pantalon_colsafa,12,0,2,1,3,5
colsafa,pantalon,pantalon_colsafa,14,0,1,1,2,5
colsafa,pantalon,pantalon_colsafa,28,0,3,2,5,5
colsafa,pantalon,pantalon_colsafa,30,0,1,1,2,5
colsafa,pantalon,pantalon_colsafa,32,0,1,1,2,5
colsafa,pantalon,pantalon_colsafa,6,0,2,2,4,5
colsafa,pantalon,pantalon_colsafa,8,0,4,2,6,10
colsafa,pantaloneta,pantaloneta_colsafa,14,0,1,1,2,5
colsafa,pantaloneta,pantaloneta_colsafa,M,0,1,1,2,5
conalco,blusa,blusa_conalco,12,5,4,2,1,5
