colegio;articulo;articulo_colegio;talla;inventario;pronostico_cierre;stock_minimo;orden_sin_redondeo;orden_produccion
colsafa;blusa;blusa | colsafa;10;11;6;10;5;5
colsafa;blusa;blusa | colsafa;16;18;5;27;14;15
colsafa;blusa;blusa | colsafa;8;7;3;18;14;15
colsafa;blusa;blusa | colsafa;L;1;1;1;1;5
colsafa;blusa;blusa | colsafa;M;3;4;14;15;15
colsafa;blusa;blusa | colsafa;S;17;11;39;33;35
gimnasio plaza feliz;blusa;blusa | gimnasio plaza feliz;14;2;4;1;3;5
gimnasio plaza feliz;blusa;blusa | gimnasio plaza feliz;16;0;3;3;6;10
gimnasio plaza feliz;blusa;blusa | gimnasio plaza feliz;2;0;1;1;2;5
gimnasio plaza feliz;blusa;blusa | gimnasio plaza feliz;8;2;3;1;2;5
gimnasio vallegrande;blusa;blusa | gimnasio vallegrande;14;10;2;11;3;5
gimnasio vallegrande;blusa;blusa | gimnasio vallegrande;16;5;9;11;15;15
gimnasio vallegrande;blusa;blusa | gimnasio vallegrande;S;24;3;41;20;20
la inmaculada;blusa;blusa | la inmaculada;10;4;5;22;23;25
la inmaculada;blusa;blusa | la inmaculada;12;18;7;35;24;25
la inmaculada;blusa;blusa | la inmaculada;14;0;9;32;41;45
la inmaculada;blusa;blusa | la inmaculada;16;2;7;22;27;30
la inmaculada;blusa;blusa | la inmaculada;8;11;6;15;10;10
la inmaculada;blusa;blusa | la inmaculada;M;10;2;17;9;10
la inmaculada;blusa;blusa | la inmaculada;S;1;5;26;30;30
liceo pupo jimenez;blusa;blusa | liceo pupo jimenez;10;3;10;11;18;20
liceo pupo jimenez;blusa;blusa | liceo pupo jimenez;12;12;15;20;23;25
liceo pupo jimenez;blusa;blusa | liceo pupo jimenez;14;3;5;18;20;20
liceo pupo jimenez;blusa;blusa | liceo pupo jimenez;16;2;14;11;23;25
liceo pupo jimenez;blusa;blusa | liceo pupo jimenez;2;2;4;1;3;5
liceo pupo jimenez;blusa;blusa | liceo pupo jimenez;4;0;3;2;5;5
liceo pupo jimenez;blusa;blusa | liceo pupo jimenez;6;6;6;14;14;15
liceo pupo jimenez;blusa;blusa | liceo pupo jimenez;8;1;9;20;28;30
liceo pupo jimenez;blusa;blusa | liceo pupo jimenez;L;0;6;3;9;10
liceo pupo jimenez;blusa;blusa | liceo pupo jimenez;M;7;10;21;24;25
liceo pupo jimenez;blusa;blusa | liceo pupo jimenez;S;6;9;5;8;10
liceo pupo jimenez;blusa;blusa | liceo pupo jimenez;XL;2;4;1;3;5
liceo universitario;blusa;blusa | liceo universitario;12;12;4;10;2;5
liceo universitario;blusa;blusa | liceo universitario;14;10;3;10;3;5
liceo universitario;blusa;blusa | liceo universitario;16;5;5;8;8;10
liceo universitario;blusa;blusa | liceo universitario;S;0;8;4;12;15
nuestra senora del carmen;blusa;blusa | nuestra senora del carmen;10;3;3;2;2;5
nuestra senora del carmen;blusa;blusa | nuestra senora del carmen;12;9;0;15;6;10
nuestra senora del carmen;blusa;blusa | nuestra senora del carmen;14;4;3;8;7;10
nuestra senora del carmen;blusa;blusa | nuestra senora del carmen;16;4;5;11;12;15
nuestra senora del carmen;blusa;blusa | nuestra senora del carmen;2;2;2;1;1;5
nuestra senora del carmen;blusa;blusa | nuestra senora del carmen;4;0;5;3;8;10
nuestra senora del carmen;blusa;blusa | nuestra senora del carmen;8;4;7;14;17;20
nuestra senora del carmen;blusa;blusa | nuestra senora del carmen;M;12;8;8;4;5
nuestra senora del carmen;blusa;blusa | nuestra senora del carmen;S;2;7;3;8;10
