ID unico de factura;fecha de venta;Día;Mes;Año;Nombre cliente;Numero de contacto;ID cliente;pago efectivo;pago tarjeta;pago transferencia;total pagado 1;valor factura;pendiente;fecha de pago 2;pago efectivo 2;pago tarjeta 2;pago transferencia 2;Estado de factura;total efectivo;total tarjeta;total transfencia;total pendiente;Producto pendiente por entregar;calculo valor factura conteo;Lista rapida;Aux busqueda fehca
NA FACTURA-44572-liceo pupo jimenez_falda_8;martes, 11 de enero de 2022;11;1;2022;NA;NA;;70000;0;0;70000;70000;0;;;;;PAGADA / CERRADA;70000;0;0;0;NO;;J;11/01/2022
NA FACTURA-44572-liceo pupo jimenez_camiseta fisica_8;martes, 11 de enero de 2022;11;1;2022;NA;NA;;31000;0;0;31000;31000;0;;;;;PAGADA / CERRADA;31000;0;0;0;NO;;J;11/01/2022
NA FACTURA-44572-liceo pupo jimenez_bombacho_6;martes, 11 de enero de 2022;11;1;2022;NA;NA;;34000;0;0;34000;34000;0;;;;;PAGADA / CERRADA;34000;0;0;0;NO;;J;11/01/2022
NA FACTURA-44572-liceo pupo jimenez_falda_6;martes, 11 de enero de 2022;11;1;2022;NA;NA;;0;70000;0;70000;70000;0;;;;;PAGADA / CERRADA;0;70000;0;0;NO;;J;11/01/2022
NA FACTURA-44572-liceo pupo jimenez_blusa_6;martes, 11 de enero de 2022;11;1;2022;NA;NA;;0;54000;0;54000;54000;0;;;;;PAGADA / CERRADA;0;54000;0;0;NO;;J;11/01/2022
NA FACTURA-44572-liceo pupo jimenez_camiseta fisica_6;martes, 11 de enero de 2022;11;1;2022;NA;NA;;0;31000;0;31000;31000;0;;;;;PAGADA / CERRADA;0;31000;0;0;NO;;J;11/01/2022
NA FACTURA-44572-liceo pupo jimenez_bombacho_6;martes, 11 de enero de 2022;11;1;2022;NA;NA;;0;34000;0;34000;34000;0;;;;;PAGADA / CERRADA;0;34000;0;0;NO;;J;11/01/2022
NA FACTURA-44572-colsafa_guayabera_4;martes, 11 de enero de 2022;11;1;2022;NA;NA;;0;0;0;0;0;0;;;;;PAGADA / CERRADA;0;0;0;0;NO;;J;11/01/2022
NA FACTURA-44572-nuestra señora del carmen_jumper_10;martes, 11 de enero de 2022;11;1;2022;NA;NA;;0;86000;0;86000;86000;0;;;;;PAGADA / CERRADA;0;86000;0;0;NO;;J;11/01/2022
NA FACTURA-44572-nuestra señora del carmen_blusa_14;martes, 11 de enero de 2022;11;1;2022;NA;NA;;0;58000;0;58000;58000;0;;;;;PAGADA / CERRADA;0;58000;0;0;NO;;J;11/01/2022
