Grupo 1;Grupo 2;Grupo 3;Grupo 4;Grupo 5
COMERCIALES Y MARKETING;Branding;Branding;;
COMERCIALES Y MARKETING;Branding;Carteles;;
COMERCIALES Y MARKETING;Branding;Catálogos;;
COMERCIALES Y MARKETING;Atención clientes;Cortesías;;
COMERCIALES Y MARKETING;Atención clientes;Detalles corporativos;;
COMERCIALES Y MARKETING;Branding;Diseño gráfico;;
COMERCIALES Y MARKETING;Branding;Fotografías;;
COMERCIALES Y MARKETING;Publicidad;Google Ads;;
COMERCIALES Y MARKETING;Publicidad;Instagram Ads;;
COMERCIALES Y MARKETING;Publicidad;Meta Ads;;
COMERCIALES Y MARKETING;Atención clientes;Muestras;;
COMERCIALES Y MARKETING;Branding;Flyers;;
COMERCIALES Y MARKETING;Branding;Pendones;;
COMERCIALES Y MARKETING;Atención clientes;Regalos clientes;;
COMERCIALES Y MARKETING;Publicidad;TikTok Ads;;
COMERCIALES Y MARKETING;Branding;Videos;;
COSTOS DIRECTOS;Materia prima directa;Bolsas individuales;;
COSTOS DIRECTOS;Procesos productivos externos;Bordado;;
COSTOS DIRECTOS;Mano de obra directa;Bordadores;;
COSTOS DIRECTOS;Materia prima directa;Botones;;
COSTOS DIRECTOS;Materia prima directa;Broches;;
COSTOS DIRECTOS;Materia prima directa;Cajas individuales;;
COSTOS DIRECTOS;Procesos productivos externos;Confección satélite;;
COSTOS DIRECTOS;Materia prima directa;Cordones;;
COSTOS DIRECTOS;Mano de obra directa;Cortadores;;
COSTOS DIRECTOS;Procesos productivos externos;Corte externo;;
COSTOS DIRECTOS;Materia prima directa;Cremalleras;;
COSTOS DIRECTOS;Materia prima directa;Cuellos;;
COSTOS DIRECTOS;Materia prima directa;Elásticos;;
COSTOS DIRECTOS;Mano de obra directa;Empaque final;;
COSTOS DIRECTOS;Materia prima directa;Empaque unitario;;
COSTOS DIRECTOS;Materia prima directa;Entretela;;
COSTOS DIRECTOS;Procesos productivos externos;Estampado;;
COSTOS DIRECTOS;Mano de obra directa;Estampadores;;
COSTOS DIRECTOS;Materia prima directa;Etiquetas;;
COSTOS DIRECTOS;Materia prima directa;Hilo;;
COSTOS DIRECTOS;Procesos productivos externos;Lavandería;;
COSTOS DIRECTOS;Mano de obra directa;Coordinador de taller-Betty;;
COSTOS DIRECTOS;Materia prima directa;Marquillas;;
COSTOS DIRECTOS;Mano de obra directa;Bordadora-cindy;;
COSTOS DIRECTOS;Mano de obra directa;Operarias;;
COSTOS DIRECTOS;Materia prima directa;Papel seda;;
COSTOS DIRECTOS;Procesos productivos externos;Planchado externo;;
COSTOS DIRECTOS;Mano de obra directa;Planchadores;;
COSTOS DIRECTOS;Materia prima directa;Puños;;
COSTOS DIRECTOS;Materia prima directa;RE-BRANDING;;
COSTOS DIRECTOS;Materia prima directa;Resortes;;
COSTOS DIRECTOS;Materia prima directa;Rib;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Salud operarios;Salud Betty;;
COSTOS DIRECTOS;Materia prima directa;Stickers del producto;;
COSTOS DIRECTOS;Procesos productivos externos;Sublimación;;
COSTOS DIRECTOS;Mano de obra directa;Sublimadores;;
COSTOS DIRECTOS;Materia prima directa;Tela;;
COSTOS DIRECTOS;Mano de obra directa;Terminación;;
COSTOS DIRECTOS;Materia prima directa;Velcro;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Mantenimiento producción;Aceites;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Infraestructura producción;Administración taller;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Servicios almacen;Agua almacen;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Servicios taller/planta;Agua taller;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Mantenimiento producción;Agujas;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Infraestructura producción;Arriendo almacen;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Infraestructura producción;Arriendo taller;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Infraestructura producción;Aseo planta;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Personal indirecto producción;Bodega producción;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Depreciaciones producción;Bordadoras;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Depreciaciones producción;Computadores producción;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Personal indirecto producción;Control calidad;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Personal indirecto producción;Coordinador producción;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Mantenimiento producción;Cuchillas;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Servicios almacen;Energía almacen;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Servicios taller/planta;Energía taller;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Depreciaciones producción;Fileteadoras;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Infraestructura producción;Fumigación;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Servicios almacen;Gas almacen;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Servicios taller/planta;Gas taller;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Mantenimiento producción;Herramientas;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Servicios almacen;Internet almacen;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Servicios taller/planta;Internet taller;;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Personal indirecto producción;Jefe planta;Clelia;
COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Mantenimiento producción;Lubricantes;;
