colegio;PRODUCTO;TALLA;INVENTARIO;ID_BUSQUEDA;Produccion
liceo pupo jimenez;blusa;2;2;liceo pupo jimenez_blusa_2;Blusa blanca-popelina
liceo pupo jimenez;blusa;4;0;liceo pupo jimenez_blusa_4;Blusa blanca-popelina
liceo pupo jimenez;blusa;6;6;liceo pupo jimenez_blusa_6;Blusa blanca-popelina
liceo pupo jimenez;blusa;8;1;liceo pupo jimenez_blusa_8;Blusa blanca-popelina
liceo pupo jimenez;blusa;10;1;liceo pupo jimenez_blusa_10;Blusa blanca-popelina
liceo pupo jimenez;blusa;12;12;liceo pupo jimenez_blusa_12;Blusa blanca-popelina
liceo pupo jimenez;blusa;14;1;liceo pupo jimenez_blusa_14;Blusa blanca-popelina
liceo pupo jimenez;blusa;16;2;liceo pupo jimenez_blusa_16;Blusa blanca-popelina
liceo pupo jimenez;blusa;S;6;liceo pupo jimenez_blusa_S;Blusa blanca-popelina
liceo pupo jimenez;blusa;M;7;liceo pupo jimenez_blusa_M;Blusa blanca-popelina
liceo pupo jimenez;blusa;L;-1;liceo pupo jimenez_blusa_L;Blusa blanca-popelina
liceo pupo jimenez;blusa;XL;2;liceo pupo jimenez_blusa_XL;Blusa blanca-popelina
liceo pupo jimenez;falda;2;0;liceo pupo jimenez_falda_2;
liceo pupo jimenez;falda;4;0;liceo pupo jimenez_falda_4;
liceo pupo jimenez;falda;6;0;liceo pupo jimenez_falda_6;
liceo pupo jimenez;falda;8;0;liceo pupo jimenez_falda_8;
liceo pupo jimenez;falda;10;0;liceo pupo jimenez_falda_10;
liceo pupo jimenez;falda;12;0;liceo pupo jimenez_falda_12;
liceo pupo jimenez;falda;14;0;liceo pupo jimenez_falda_14;
liceo pupo jimenez;falda;16;0;liceo pupo jimenez_falda_16;
liceo pupo jimenez;falda;S;0;liceo pupo jimenez_falda_S;
liceo pupo jimenez;falda;M;0;liceo pupo jimenez_falda_M;
liceo pupo jimenez;falda;L;0;liceo pupo jimenez_falda_L;
liceo pupo jimenez;falda;XL;0;liceo pupo jimenez_falda_XL;
liceo pupo jimenez;camiseta diario;2;2;liceo pupo jimenez_camiseta diario_2;polo blanca-yute
liceo pupo jimenez;camiseta diario;4;10;liceo pupo jimenez_camiseta diario_4;polo blanca-yute
liceo pupo jimenez;camiseta diario;6;14;liceo pupo jimenez_camiseta diario_6;polo blanca-yute
liceo pupo jimenez;camiseta diario;8;11;liceo pupo jimenez_camiseta diario_8;polo blanca-yute
liceo pupo jimenez;camiseta diario;10;5;liceo pupo jimenez_camiseta diario_10;polo blanca-yute
liceo pupo jimenez;camiseta diario;12;16;liceo pupo jimenez_camiseta diario_12;polo blanca-yute
liceo pupo jimenez;camiseta diario;14;17;liceo pupo jimenez_camiseta diario_14;polo blanca-yute
liceo pupo jimenez;camiseta diario;16;25;liceo pupo jimenez_camiseta diario_16;polo blanca-yute
liceo pupo jimenez;camiseta diario;S;16;liceo pupo jimenez_camiseta diario_S;polo blanca-yute
liceo pupo jimenez;camiseta diario;M;12;liceo pupo jimenez_camiseta diario_M;polo blanca-yute
liceo pupo jimenez;camiseta diario;L;11;liceo pupo jimenez_camiseta diario_L;polo blanca-yute
liceo pupo jimenez;camiseta diario;XL;1;liceo pupo jimenez_camiseta diario_XL;polo blanca-yute
liceo pupo jimenez;camiseta fisica;2;5;liceo pupo jimenez_camiseta fisica_2;polo blanca-franela
liceo pupo jimenez;camiseta fisica;4;8;liceo pupo jimenez_camiseta fisica_4;polo blanca-franela
liceo pupo jimenez;camiseta fisica;6;12;liceo pupo jimenez_camiseta fisica_6;polo blanca-franela
liceo pupo jimenez;camiseta fisica;8;5;liceo pupo jimenez_camiseta fisica_8;polo blanca-franela
liceo pupo jimenez;camiseta fisica;10;10;liceo pupo jimenez_camiseta fisica_10;polo blanca-franela
liceo pupo jimenez;camiseta fisica;12;6;liceo pupo jimenez_camiseta fisica_12;polo blanca-franela
liceo pupo jimenez;camiseta fisica;14;11;liceo pupo jimenez_camiseta fisica_14;polo blanca-franela
liceo pupo jimenez;camiseta fisica;16;11;liceo pupo jimenez_camiseta fisica_16;polo blanca-franela
liceo pupo jimenez;camiseta fisica;S;8;liceo pupo jimenez_camiseta fisica_S;polo blanca-franela
liceo pupo jimenez;camiseta fisica;M;8;liceo pupo jimenez_camiseta fisica_M;polo blanca-franela
liceo pupo jimenez;camiseta fisica;L;4;liceo pupo jimenez_camiseta fisica_L;polo blanca-franela
liceo pupo jimenez;camiseta fisica;XL;1;liceo pupo jimenez_camiseta fisica_XL;polo blanca-franela
liceo pupo jimenez;bombacho;2;2;liceo pupo jimenez_bombacho_2;bombacho-lpj
liceo pupo jimenez;bombacho;4;0;liceo pupo jimenez_bombacho_4;bombacho-lpj
liceo pupo jimenez;bombacho;6;9;liceo pupo jimenez_bombacho_6;bombacho-lpj
liceo pupo jimenez;bombacho;8;1;liceo pupo jimenez_bombacho_8;bombacho-lpj
liceo pupo jimenez;bombacho;10;15;liceo pupo jimenez_bombacho_10;bombacho-lpj
liceo pupo jimenez;bombacho;12;9;liceo pupo jimenez_bombacho_12;bombacho-lpj
liceo pupo jimenez;bombacho;14;18;liceo pupo jimenez_bombacho_14;bombacho-lpj
liceo pupo jimenez;bombacho;16;36;liceo pupo jimenez_bombacho_16;bombacho-lpj
liceo pupo jimenez;bombacho;S;11;liceo pupo jimenez_bombacho_S;bombacho-lpj
liceo pupo jimenez;bombacho;M;8;liceo pupo jimenez_bombacho_M;bombacho-lpj
liceo pupo jimenez;bombacho;L;14;liceo pupo jimenez_bombacho_L;bombacho-lpj
liceo pupo jimenez;bombacho;XL;6;liceo pupo jimenez_bombacho_XL;bombacho-lpj
liceo pupo jimenez;Medias;2;0;liceo pupo jimenez_Medias_2;
liceo pupo jimenez;Medias;4;0;liceo pupo jimenez_Medias_4;
liceo pupo jimenez;Medias;6;-6;liceo pupo jimenez_Medias_6;
liceo pupo jimenez;Medias;8;0;liceo pupo jimenez_Medias_8;
liceo pupo jimenez;Medias;10;-4;liceo pupo jimenez_Medias_10;
liceo universitario;blusa;2;3;liceo universitario_blusa_2;Blusa blanca-popelina
liceo universitario;blusa;4;3;liceo universitario_blusa_4;Blusa blanca-popelina
liceo universitario;blusa;6;18;liceo universitario_blusa_6;Blusa blanca-popelina
liceo universitario;blusa;8;3;liceo universitario_blusa_8;Blusa blanca-popelina
