colegio;PRODUCTO;TALLA;VALOR AÑO PRESENTE;ID_BUSQUEDA;2022;2023;2024;2025;2026;2027;2028;2029
liceo pupo jimenez;blusa;2;37000;liceo pupo jimenez_blusa_2;27000;30000;33000;33000;37000;41000;46000;51000
liceo pupo jimenez;blusa;4;37000;liceo pupo jimenez_blusa_4;27000;30000;33000;33000;37000;41000;46000;51000
liceo pupo jimenez;blusa;6;37000;liceo pupo jimenez_blusa_6;27000;30000;33000;33000;37000;41000;46000;51000
liceo pupo jimenez;blusa;8;37000;liceo pupo jimenez_blusa_8;27000;30000;33000;33000;37000;41000;46000;51000
liceo pupo jimenez;blusa;10;40000;liceo pupo jimenez_blusa_10;28000;32000;35000;35000;40000;44000;49000;54000
liceo pupo jimenez;blusa;12;40000;liceo pupo jimenez_blusa_12;28000;32000;39000;35000;40000;44000;49000;54000
liceo pupo jimenez;blusa;14;42000;liceo pupo jimenez_blusa_14;29000;34000;38000;37000;42000;47000;52000;58000
liceo pupo jimenez;blusa;16;42000;liceo pupo jimenez_blusa_16;29000;34000;38000;37000;42000;47000;52000;58000
liceo pupo jimenez;blusa;S;45000;liceo pupo jimenez_blusa_S;31000;31000;40000;40000;45000;50000;55000;61000
liceo pupo jimenez;blusa;M;45000;liceo pupo jimenez_blusa_M;31000;36000;40000;40000;45000;50000;55000;61000
liceo pupo jimenez;blusa;L;48000;liceo pupo jimenez_blusa_L;32000;37000;41000;42000;48000;53000;59000;65000
liceo pupo jimenez;blusa;XL;48000;liceo pupo jimenez_blusa_XL;32000;;;42000;48000;53000;59000;65000
liceo pupo jimenez;falda;2;96000;liceo pupo jimenez_falda_2;67000;76000;;85000;96000;106000;117000;129000
liceo pupo jimenez;falda;4;96000;liceo pupo jimenez_falda_4;67000;15000;85000;85000;96000;106000;117000;129000
liceo pupo jimenez;falda;6;100000;liceo pupo jimenez_falda_6;70000;80000;79000;89000;100000;110000;121000;134000
liceo pupo jimenez;falda;8;100000;liceo pupo jimenez_falda_8;70000;80000;80000;89000;100000;110000;121000;134000
liceo pupo jimenez;falda;10;108000;liceo pupo jimenez_falda_10;76000;86000;89000;96000;108000;119000;131000;145000
liceo pupo jimenez;falda;12;108000;liceo pupo jimenez_falda_12;76000;86000;72000;96000;108000;119000;131000;145000
liceo pupo jimenez;falda;14;112000;liceo pupo jimenez_falda_14;79000;90000;96000;100000;112000;124000;137000;151000
liceo pupo jimenez;falda;16;112000;liceo pupo jimenez_falda_16;79000;90000;100000;100000;112000;124000;137000;151000
liceo pupo jimenez;falda;S;121000;liceo pupo jimenez_falda_S;85000;97000;108000;108000;121000;134000;148000;163000
liceo pupo jimenez;falda;M;121000;liceo pupo jimenez_falda_M;85000;97000;108000;108000;121000;134000;148000;163000
liceo pupo jimenez;falda;L;130000;liceo pupo jimenez_falda_L;102000;104000;116000;116000;130000;143000;158000;174000
liceo pupo jimenez;falda;XL;130000;liceo pupo jimenez_falda_XL;;;;116000;130000;143000;158000;174000
liceo pupo jimenez;camiseta diario;2;46000;liceo pupo jimenez_camiseta diario_2;;0;;41000;46000;51000;57000;63000
liceo pupo jimenez;camiseta diario;4;46000;liceo pupo jimenez_camiseta diario_4;32000;37000;41000;41000;46000;51000;57000;63000
liceo pupo jimenez;camiseta diario;6;46000;liceo pupo jimenez_camiseta diario_6;32000;37000;41000;41000;46000;51000;57000;63000
liceo pupo jimenez;camiseta diario;8;46000;liceo pupo jimenez_camiseta diario_8;32000;37000;41000;41000;46000;51000;57000;63000
liceo pupo jimenez;camiseta diario;10;48000;liceo pupo jimenez_camiseta diario_10;34000;38000;42000;42000;48000;53000;59000;65000
liceo pupo jimenez;camiseta diario;12;48000;liceo pupo jimenez_camiseta diario_12;34000;38000;42000;42000;48000;53000;59000;65000
liceo pupo jimenez;camiseta diario;14;50000;liceo pupo jimenez_camiseta diario_14;35000;40000;44800;44000;50000;55000;61000;68000
liceo pupo jimenez;camiseta diario;16;50000;liceo pupo jimenez_camiseta diario_16;35000;40000;44000;44000;50000;55000;61000;68000
liceo pupo jimenez;camiseta diario;S;53000;liceo pupo jimenez_camiseta diario_S;37000;42000;47040;47000;53000;59000;65000;72000
liceo pupo jimenez;camiseta diario;M;53000;liceo pupo jimenez_camiseta diario_M;37000;42000;47040;47000;53000;59000;65000;72000
liceo pupo jimenez;camiseta diario;L;56000;liceo pupo jimenez_camiseta diario_L;39000;45000;50000;50000;56000;62000;69000;76000
liceo pupo jimenez;camiseta diario;XL;56000;liceo pupo jimenez_camiseta diario_XL;39000;45000;50000;50000;56000;62000;69000;76000
liceo pupo jimenez;camiseta fisica;2;41000;liceo pupo jimenez_camiseta fisica_2;29000;33000;36000;36000;41000;46000;51000;57000
liceo pupo jimenez;camiseta fisica;4;41000;liceo pupo jimenez_camiseta fisica_4;29000;33000;36000;36000;41000;46000;51000;57000
liceo pupo jimenez;camiseta fisica;6;44000;liceo pupo jimenez_camiseta fisica_6;31000;35000;39000;39000;44000;49000;54000;60000
liceo pupo jimenez;camiseta fisica;8;44000;liceo pupo jimenez_camiseta fisica_8;31000;35000;35000;39000;44000;49000;54000;60000
liceo pupo jimenez;camiseta fisica;10;46000;liceo pupo jimenez_camiseta fisica_10;32000;32000;41000;41000;46000;51000;57000;63000
liceo pupo jimenez;camiseta fisica;12;46000;liceo pupo jimenez_camiseta fisica_12;32000;37000;41000;41000;46000;51000;57000;63000
liceo pupo jimenez;camiseta fisica;14;49000;liceo pupo jimenez_camiseta fisica_14;35000;39000;41440;43000;49000;54000;60000;66000
liceo pupo jimenez;camiseta fisica;16;49000;liceo pupo jimenez_camiseta fisica_16;35000;39000;43000;43000;49000;54000;60000;66000
liceo pupo jimenez;camiseta fisica;S;53000;liceo pupo jimenez_camiseta fisica_S;37000;42000;47040;47000;53000;59000;65000;72000
liceo pupo jimenez;camiseta fisica;M;53000;liceo pupo jimenez_camiseta fisica_M;37000;42000;47040;47000;53000;59000;65000;72000
